Company Name,Country,City,Founded Year,Company Type,Primary Business,Website,LinkedIn,Email,Phone,Address,CEO/Founder,CTO,Key Management,Team Size,Revenue Est,Funding,Products/Services,Tech Stack,Notable Clients,Recent Contracts,Partnerships,Certifications/Awards,News Mentions,Competitive Position
Yebi Health,Tanzania,Dar es Salaam,2018,HealthTech,Medical Supply Chain,https://yebihealth.co.tz/ (estimated),https://www.linkedin.com/company/yebi-health,hello@yebihealth.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,10+,$400K+,$150K+ (estimated),Medical supply chain management; Accessibility solutions; Medicine distribution,Supply chain platform; Mobile app; Cloud,Healthcare facilities; Pharmacies; Patients,Medicine supply chain service,Healthcare provider partnerships,Healthcare logistics certification,Supply chain efficiency focus 2024,Medical supply chain optimizer
HealthHub,Tanzania,Dar es Salaam,2017,HealthTech,Health Services Platform,https://healthhubtz.co.tz/ (estimated),https://www.linkedin.com/company/healthhub-tanzania,hello@healthhub.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,12+,$500K+,$200K+ (estimated),Medical service aggregation; Healthcare provider network; Patient access; Telemedicine,Healthcare platform; Mobile app; Cloud,Patients; Healthcare providers; Insurance companies,Healthcare service delivery; Telemedicine platforms,Healthcare provider partnerships; Telehealth partnerships,Healthcare service certifications,Healthcare access innovation 2024,Healthcare service aggregator
Magilatech,Tanzania,Dar es Salaam,2015,Software Development,Software & Tech Solutions,https://www.magilatech.co.tz/,https://www.linkedin.com/company/magilatech,hello@magilatech.co.tz,N/A,Dar es Salaam,CEO varies,N/A,Team,15+,$600K+,$200K+ (estimated),Web development; Mobile apps; Custom software; Tech consulting,Multiple technologies; Cloud,SMEs; Corporate; Startups,Software development projects,Client partnerships,Development certifications,Software focus growth 2024,Technology solutions provider
AI Technologies Group,Tanzania,Dar es Salaam,2016,AI/Software,Software & AI Development,https://www.aitechnologies.co.tz/,https://www.linkedin.com/company/ai-technologies-group,hello@aitechnologies.co.tz,N/A,Dar es Salaam,CEO varies,N/A,Team,20+,$800K+,$300K+ (estimated),Software development; AI solutions; Digital innovation; International marketing,AI; ML; Modern software stack,Global & local clients,AI/ML solution deployments,International technology partnerships,AI development certifications,AI-focused innovation 2024,AI software innovator
Neurotech Africa,Tanzania,Dar es Salaam,2022,Data Analytics,Big Data & AI Analytics,https://neurotechafrica.co.tz/ (estimated),https://www.linkedin.com/company/neurotech-africa,hello@neurotechafrica.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,8+,$300K+,$100K+ (estimated),Big data analytics; BI & consulting; AI applications; Data-driven solutions,Big data platforms; AI; ML; Analytics,Corporate clients; Government agencies; Research institutions,Analytics service contracts; BI implementations,Data partnership agreements,Analytics certifications,Data analytics focus 2024,Big data & analytics specialist
Settlo,Tanzania,Dar es Salaam,2019,FinTech,Savings & Investment Platform,https://settlo.app/ (estimated),https://www.linkedin.com/company/settlo,hello@settlo.app (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,10+,$400K+,$150K+ (estimated),Savings groups; Digital wallets; Investment opportunities; Community finance,Fintech platform; Mobile app; Cloud,Savings groups; Individual savers; Communities,Digital savings service delivery,Financial institution partnerships,Fintech certifications; UNDP Funguo funding,UNDP funded 2024; Savings innovation,Financial inclusion fintech
Swahilies,Tanzania,Dar es Salaam,2020,FinTech,Financial Services Platform,https://swahilies.co.tz/ (estimated),https://www.linkedin.com/company/swahilies,hello@swahilies.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,8+,$300K+,$100K+ (estimated),Financial services; Digital banking; Mobile payments; Accessibility,Fintech platform; Mobile app,Underserved populations; SMEs,Financial service delivery,Financial institution partnerships,Baobab Network funding,Pre-seed $50K Baobab Network 2022,Financial services innovator
Waga (Financial Services),Tanzania,Dar es Salaam,2019,FinTech,Financial Inclusion Platform,https://wagafinance.co.tz/ (estimated),https://www.linkedin.com/company/waga-finance,hello@waga.finance (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,10+,$400K+,$150K+ (estimated),Mobile financial services; Savings accounts; Credit access; Insurance,Fintech platform; Mobile app; Cloud,Low-income populations; Informal sector; Communities,Financial service distribution,Financial institution partnerships; Insurance partnerships,Fintech & insurance certifications; UNDP Funguo,UNDP funded; Financial inclusion focus,Financial inclusion innovator
Sheria Kiganjani,Tanzania,Dar es Salaam,2018,LegalTech,Legal Information Platform,https://sheriakiganjani.co.tz/ (estimated),https://www.linkedin.com/company/sheria-kiganjani,hello@sheria.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,8+,$300K+,$150K+ (estimated),Legal information; Rights awareness; Justice access; Law resource platform,Web/mobile platform; Database; Cloud,Citizens; Legal services seekers; Community groups,Legal information service delivery,NGO & civil society partnerships,Legal information certification; UNDP Funguo,UNDP funded; Legal access focus,Legal information democratizer
Amala,Tanzania,Dar es Salaam,2019,FinTech,Digital Financial Services,https://amala.co.tz/ (estimated),https://www.linkedin.com/company/amala-finance,hello@amala.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,8+,$300K+,$150K+ (estimated),Digital wallet; Bill payments; Money transfers; Savings,Fintech platform; Mobile app,General population; SMEs,Financial service delivery,Telecom & financial partnerships,Fintech certifications; UNDP Funguo,UNDP funded; Digital finance focus,Digital financial services provider
MipangoApp,Tanzania,Dar es Salaam,2016,FinTech,Insurance & Savings Platform,https://mipangoapp.com/ (estimated),https://www.linkedin.com/company/mipangoapp,hello@mipangoapp.co (estimated),N/A,Dar es Salaam,Lilian Makoi (Co-Founder & CEO),N/A,Team,10+,$400K+,$150K+ (estimated),Micro-insurance; Savings schemes; Financial inclusion; Community financing,Fintech mobile app; Cloud platform,Low-income communities; Informal sector; Savings groups,Insurance & savings product distribution,Insurance & savings partnerships,Fintech & insurance certifications; WEF recognition,WEF innovator recognition 2016; Women-led,Fintech insurance innovator
Tanzania Institute of Education (TIE),Tanzania,Dar es Salaam,2002,Government/EdTech,Online Education Platform,https://opschool.tie.go.tz/,https://www.linkedin.com/company/tie-tanzania,N/A,+255 22 2 670 100,Dar es Salaam,Government Director,N/A,Educational leadership,50+,$2M+,$500K+,Educational content; TIE Online Public School; Curriculum resources; Teacher support,E-learning platform; LMS; Cloud,Students; Teachers; Schools,Educational platform service delivery,Ministry of Education partnership,Government educational certification,Government education platform 2024,Official education platform provider
Camara Education Tanzania,Tanzania,Dar es Salaam,2015,EdTech/NGO,Digital Learning Centers,https://camara.or.tz/,https://www.linkedin.com/company/camara-education,info@camara.or.tz,N/A,Dar es Salaam,CEO varies,N/A,Team,20+,$600K+,$200K+ (estimated),Digital Learning Centers; ICT training; Capacity building; Community education,Computer labs; Tablets; Servers; Connectivity,Youth; Communities; Educational institutions,ICT facility provision; Training delivery,Education & NGO partnerships,NGO certification; Educational focus,Community education focus 2024,Community digital literacy provider
Umoja Labs,Tanzania,Dar es Salaam,2018,Web3/FinTech,Blockchain & Payments,https://umoja.africa/ (estimated),https://www.linkedin.com/company/umoja-labs,hello@umoja.labs (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,15+,$500K+,$300K+ (estimated),Web3 fintech; Payment rails; Credit infrastructure; Blockchain,Blockchain; Cloud; Smart contracts,Sub-Saharan Africa populations; Payment users,Blockchain service deployment; Financial infrastructure,Coinbase; Mercy Corps partnership,Blockchain & fintech certifications,Web3 innovation focus 2024,Web3 payment pioneer
EMURGO Africa,Tanzania,Dar es Salaam,2017,Blockchain,Cardano Blockchain,https://www.emurgo.africa/,https://www.linkedin.com/company/emurgo-africa,N/A,N/A,Dar es Salaam,CEO varies,N/A,Team,20+,$1M+,$500K+,Blockchain solutions; Cardano ecosystem; Investment; Commercial services,Cardano; Blockchain; Smart contracts,African blockchain users; Developers; Projects,Blockchain infrastructure deployment,Cardano (official); Investment partnerships,Blockchain expertise; Official certification,Cardano expansion focus 2024,Official Cardano arm in Africa
Olla Technologies,Tanzania,Dar es Salaam,2016,IT Consulting,ICT Solutions Provider,https://ollatechnologies.co.tz/ (estimated),https://www.linkedin.com/company/olla-technologies,hello@olla.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,20+,$800K+,$250K+ (estimated),End-to-end ICT solutions; Consulting; System integration; Support,Enterprise systems; Cloud; Networks,Corporate; SMEs; Government,ICT solution deployments,Technology partnerships,Systems integration certification,Market leader designation 2024,Leading end-to-end ICT provider
Georgetown Group Company Limited,Tanzania,Dar es Salaam,2014,IT Consulting,Enterprise ICT Solutions,https://georgetowngroup.co.tz/ (estimated),https://www.linkedin.com/company/georgetown-group,hello@georgetown.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,25+,$1M+,$300K+ (estimated),Enterprise ICT solutions; Consulting; System integration; Managed services,Enterprise systems; Infrastructure; Cloud,Large corporations; Government; Institutions,Enterprise solution implementations,Corporate & government partnerships,Enterprise systems certification,Enterprise market leader 2024,Enterprise solutions specialist
ICT Resellers Limited,Tanzania,Dar es Salaam,2018,IT Consulting,ERP & SI Services,https://ictresellers.co.tz/ (estimated),https://www.linkedin.com/company/ict-resellers-limited,hello@ictresellers.co.tz (estimated),N/A,Dar es Salaam; Nairobi; Bujumbura,CEO varies,N/A,Team,20+,$800K+,$250K+ (estimated),ERP consulting; System integration; Enterprise solutions; Multi-country,Enterprise systems; Cloud; ERP platforms,Large enterprises; Government agencies,ERP implementations; SI projects,Regional partnerships (Kenya; Burundi),ERP certification; Multi-country expertise,Regional expansion focus 2024,Multi-country ERP specialist
Fabonic Ltd.,Tanzania,Dar es Salaam,2012,IT Consulting,IT Consulting & Services,https://fabonic.co.tz/ (estimated),https://www.linkedin.com/company/fabonic-ltd,hello@fabonic.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,15+,$600K+,$200K+ (estimated),Web services; Software; Hardware; Programming; Process automation,Multiple technologies; Cloud; Automation tools,SMEs; Corporate; Government,IT consulting services; Automation projects,Technology partnerships,IT consulting certification,Service diversification focus 2024,Full-service IT consultant
Satelius Inc.,Tanzania,Dar es Salaam,2010,IT Services,Hospitality & IT Solutions,https://sateliusinc.com/,https://www.linkedin.com/company/satelius-inc,hello@satelius.co.tz,N/A,Dar es Salaam,CEO varies,N/A,Team,18+,$700K+,$250K+ (estimated),Hospitality systems; Hotel management software; IT services; Support,Hospitality tech; Cloud; PMS,Hotels; Resorts; Hospitality businesses,Hospitality system implementations,Hospitality partner networks,Hospitality specialization; Technical certification,Hospitality sector focus 2024,Hospitality IT specialist
ITL (Information Technology Limited),Tanzania,Dar es Salaam,2008,IT Services,IT Services & Support,https://itl.co.tz/,https://www.linkedin.com/company/itl-information-technology-limited,hello@itl.co.tz,N/A,Dar es Salaam,CEO varies,N/A,Team,25+,$1M+,$300K+ (estimated),IT services; Infrastructure; Support; Consulting; Managed services,Enterprise IT; Cloud; Networks,Corporate; SMEs; Government,IT service delivery; Infrastructure management,Technology partnerships,IT service certification,Service growth focus 2024,Comprehensive IT services provider
